PIF: 
token='BEGIN', positionInST=-1
token='Id', positionInST=0
token='INT', positionInST=-1
token=';', positionInST=-1
token='Id', positionInST=0
token=':=', positionInST=-1
token='const', positionInST=1
token=';', positionInST=-1
token='BOOLEAN', positionInST=-1
token='Id', positionInST=2
token=';', positionInST=-1
token='Id', positionInST=2
token=':=', positionInST=-1
token='FALSE', positionInST=-1
token=';', positionInST=-1
token='IF', positionInST=-1
token='(', positionInST=-1
token='Id', positionInST=0
token='>', positionInST=-1
token='const', positionInST=1
token=')', positionInST=-1
token='READ', positionInST=-1
token='Id', positionInST=3
token=';', positionInST=-1
token='FOR', positionInST=-1
token='(', positionInST=-1
token='INT', positionInST=-1
token='Id', positionInST=4
token=':=', positionInST=-1
token='const', positionInST=5
token=';', positionInST=-1
token='Id', positionInST=4
token='<', positionInST=-1
token='const', positionInST=6
token=';', positionInST=-1
token='Id', positionInST=4
token='++', positionInST=-1
token=')', positionInST=-1
token='{', positionInST=-1
token='PRINT', positionInST=-1
token='Id', positionInST=4
token=';', positionInST=-1
token='}', positionInST=-1
token='END', positionInST=-1
